Topic Number,제목_Origin
1,"이재명에게 위로의 편지 받은 '간병살인' 20대 청년, 징역 4년 확정(셜록 박상규 기자)"
1,류재환 경희대병원 교수 “노인성 질환은 20대에 원인 쌓여 젊었을때 예방 최선”
1,"친구 돕다가 ""미국인 마음도 치유"", 20억弗 유니콘 기업 일군 20대 한인"
1,"끼니야 반갑다 김태선 대표, 취약계층 건강한 여름나기를 위해 선풍기 20대 기탁"
1,"'렛미인' 축 처진 가슴, 엄청난 주름 알고보니 20대? '변신 후 충격'"
1,"[일상톡톡 플러스] 대한민국 20대, 경제적으론 부모에게 의지 간섭받는 건 No"
1,"‘우리도 쉬고 싶다, 하지만 ’ 60대 취업자 첫 20대 추월"
1,"[김현주의 일상 톡톡] 20대, 3040보다 신혼집 더 적극 구매 왜?"
1,“항공사 승무원 준비중이었는데 ” 취업 암흑기에 갇힌 20대의 좌절
1,[글로벌 노마드] 20대女 거침없이 지구촌 누빈다 60대 여행수요도 급증
2,"당정청, 청년정책 로드맵으로 '아픈 손가락' 20대 남성 마음 되돌릴 수 있을까? [김현주의 일상 톡톡]"
2,반박 나선 고민정 “여자는 20대에 계속 애만 낳으라고? 군 면제면 제 남편처럼 전담육아 가능한가”
2,"반박 나선 고민정 “女, 20대에 계속 애만 낳으라고? 軍면제면 제 남편처럼 전담육아 가능한가”"
2,[헬스Bell] 나이 들수록 길어지는 피부 재생주기 20대 탱탱했던 그 시절로 되돌려 볼까
2,"[2014 한국의 자화상] 50대 일자리, 20대 추월.. 세대간 일자리 갈등 심화"
2,[LGERI 경영노트] 중국의 20대 '주링허우' 그들을 알아야 성과 낼 수 있다
2,"국힘 김민전 ""20대 취업 문 너무 좁아 마음껏 일할 수 있어야"""
2,"서울 외국인 생활인구, 주간엔 '신촌동' '서교동'에 집중 유학생 등 20대 많아"
2,"위안부 문제 시로 풀어낸 20대 재미 작가 ""인간의 잔인함 이야기하고 싶었다"""
2,[밀레니얼 직장인 리포트 ①] IMF 실직 목격했던 30대 `카톡보고` 익숙한 20대
3,"[판깨스트] 어머니 살해한 조현병 20대, 징역 30년→12년으로 감형 법원의 고민으로 떠오른 ‘치료적 사법’"
3,청년에게 공정한 출발선을 ⑥ 20대 빈곤이 40대 빈곤으로 ‘낙오 청년’ 구하기 나선 일본
3,<21대 총선 타깃 여론조사>20대男 53.8% “文 못해” 20대女 62.0% “잘해” 극과 극
3,"[여론 속의 여론] 20대 남ㆍ녀 ‘文 지지율’ 격차, 최근 아니라 정권 초부터 드러났다"
3,[운명의 브렉시트 ①]“EU를 떠나라” 60대의 이유 있는 분노 vs “그냥 남는게” 스톡홀롬 증후군 20대
3,대한상의 “20대 국회는 경제성장 공식이 바뀌는 시기 선진법과 제도가 뒷받침 돼야“
3,"박영선 “봉준호 감독과 20대 고민 토론”, 오세훈 “메르켈 리더십 들을 것”"
3,“독일 갈 때는 모두가 풋풋한 20대 일흔 넘어 만나니 감회가 새로워요”
3,"‘탈모’ 중장년층 남성만의 고민 아니다 “20대 14%, 30대 23%도 탈모 경험”"
3,"완치 후 재확진 65명, 20대 가장 많다  中 ""7명중 1명 재확진"""
