,제목
10000,1
10001,1
10002,2
10003,2
10004,1
10005,2
10006,1
10007,2
10008,2
10009,2
10010,2
10011,2
10012,2
10013,2
10014,1
10015,2
10016,2
10017,2
10018,1
10019,2
10020,2
10021,2
10022,2
10023,1
10024,1
10025,1
10026,2
10027,1
10028,2
10029,2
10030,1
10031,2
10032,1
10033,2
10034,1
10035,2
10036,1
10037,1
10038,2
10039,1
10040,2
10041,2
10042,2
10043,1
10044,2
10045,2
10046,2
10047,1
10048,2
10049,2
10050,2
10051,2
10052,2
10053,2
10054,2
10055,2
10056,1
10057,1
10058,1
10059,2
10060,2
10061,2
10062,2
10063,2
10064,2
10065,2
10066,2
10067,2
10068,2
10069,1
10070,1
10071,2
10072,2
10073,2
10074,2
10075,1
10076,1
10077,2
10078,1
10079,2
10080,2
10081,1
10082,2
10083,1
10084,1
10085,1
10086,2
10087,1
10088,1
10089,1
10090,1
10091,2
10092,2
10093,1
10094,2
10095,1
10096,2
10097,2
10098,2
10099,2
10100,2
10101,2
10102,2
10103,1
10104,1
10105,1
10106,1
10107,1
10108,2
10109,2
10110,1
10111,1
10112,2
10113,2
10114,2
10115,2
10116,2
10117,2
10118,1
10119,2
10120,1
10121,1
10122,2
10123,2
10124,1
10125,2
10126,2
10127,2
10128,1
10129,1
10130,1
10131,2
10132,2
10133,1
10134,1
10135,2
10136,1
10137,1
10138,1
10139,2
10140,2
10141,1
10142,2
10143,2
10144,1
10145,1
10146,1
10147,1
10148,1
10149,1
10150,1
10151,1
10152,1
10153,1
10154,1
10155,1
10156,2
10157,2
10158,2
10159,2
10160,1
10161,2
10162,2
10163,2
10164,2
10165,1
10166,2
10167,2
10168,2
10169,2
10170,1
10171,1
10172,2
10173,1
10174,2
10175,1
10176,2
10177,2
10178,2
10179,2
10180,1
10181,1
10182,2
10183,2
10184,1
10185,2
10186,2
10187,1
10188,2
10189,2
10190,2
10191,2
10192,2
10193,1
10194,2
10195,1
10196,1
10197,2
10198,2
10199,2
10200,1
10201,2
10202,1
10203,1
10204,2
10205,2
10206,1
10207,2
10208,1
10209,2
10210,2
10211,1
10212,1
10213,1
10214,1
10215,2
10216,2
10217,1
10218,2
10219,1
10220,2
10221,1
10222,1
10223,1
10224,2
10225,2
10226,2
10227,2
10228,2
10229,2
10230,2
10231,2
10232,2
10233,1
10234,2
10235,2
10236,2
10237,2
10238,2
10239,1
10240,1
10241,2
10242,1
10243,2
10244,2
10245,2
10246,2
10247,1
10248,2
10249,2
10250,2
10251,2
10252,2
10253,2
10254,2
10255,1
10256,2
10257,2
10258,2
10259,2
10260,2
10261,2
10262,2
10263,1
10264,2
10265,2
10266,2
10267,2
10268,2
10269,2
10270,2
10271,2
10272,2
10273,2
10274,1
10275,1
10276,2
10277,1
10278,2
10279,1
10280,2
10281,1
10282,1
10283,2
10284,2
10285,2
10286,2
10287,2
10288,1
10289,2
10290,2
10291,1
10292,2
10293,2
10294,1
10295,1
10296,1
10297,2
10298,2
10299,2
10300,1
10301,2
10302,2
10303,1
10304,1
10305,2
10306,1
10307,2
10308,1
10309,2
10310,2
10311,1
10312,2
10313,1
10314,2
10315,1
10316,1
10317,2
10318,1
10319,1
10320,2
10321,2
10322,2
10323,2
10324,2
10325,2
10326,2
10327,2
10328,2
10329,2
10330,2
10331,2
10332,2
10333,2
10334,2
10335,1
10336,2
10337,2
10338,1
10339,1
10340,2
10341,2
10342,1
10343,1
10344,2
10345,2
10346,2
10347,1
10348,2
10349,2
10350,1
10351,1
10352,2
10353,1
10354,2
10355,2
10356,2
10357,2
10358,2
10359,2
10360,2
10361,2
10362,1
10363,1
10364,2
10365,2
10366,1
10367,2
10368,2
10369,2
10370,1
10371,2
10372,2
10373,2
10374,2
10375,1
10376,1
10377,2
10378,2
10379,2
10380,2
10381,1
10382,2
10383,2
10384,2
10385,2
10386,1
10387,2
10388,1
10389,1
10390,2
10391,2
10392,2
10393,2
10394,1
10395,1
10396,2
10397,2
10398,1
10399,2
10400,1
10401,2
10402,2
10403,2
10404,1
10405,2
10406,2
10407,1
10408,1
10409,1
10410,1
10411,1
10412,2
10413,2
10414,2
10415,2
10416,2
10417,2
10418,2
10419,2
10420,2
10421,2
10422,2
10423,2
10424,2
10425,2
10426,2
10427,2
10428,1
10429,2
10430,2
10431,2
10432,2
10433,2
10434,2
10435,2
10436,2
10437,2
10438,2
10439,2
10440,2
10441,2
10442,2
10443,2
10444,2
10445,1
10446,1
10447,2
10448,2
10449,2
10450,2
10451,2
10452,2
10453,2
10454,1
10455,2
10456,1
10457,2
10458,2
10459,1
10460,1
10461,2
10462,1
10463,2
10464,1
10465,2
10466,2
10467,2
10468,1
10469,2
10470,1
10471,2
10472,1
10473,2
10474,2
10475,2
10476,1
10477,2
10478,2
10479,2
10480,1
10481,2
10482,2
10483,2
