,제목
380000,1
380001,2
380002,1
380003,1
380004,2
380005,2
380006,1
380007,2
380008,2
380009,2
380010,1
380011,1
380012,2
380013,2
380014,1
380015,1
380016,2
380017,1
380018,1
380019,1
380020,2
380021,2
380022,1
380023,1
380024,2
380025,2
380026,2
380027,2
380028,2
380029,2
380030,2
380031,1
380032,2
380033,2
380034,1
380035,2
380036,1
380037,1
380038,1
380039,1
380040,2
380041,2
380042,2
380043,1
380044,1
380045,1
380046,1
380047,1
380048,2
380049,1
380050,2
380051,1
380052,1
380053,2
380054,2
380055,1
380056,1
380057,1
380058,1
380059,1
380060,1
380061,2
380062,1
380063,1
380064,2
380065,1
380066,1
380067,1
380068,1
380069,1
380070,1
380071,1
380072,1
380073,1
380074,1
380075,1
380076,1
380077,1
380078,1
380079,2
380080,1
380081,2
380082,1
380083,2
380084,1
380085,2
380086,1
380087,1
380088,1
380089,1
380090,1
380091,2
380092,2
380093,1
380094,2
380095,1
380096,2
380097,1
380098,1
380099,2
380100,2
380101,1
380102,2
380103,2
380104,2
380105,1
380106,1
380107,2
380108,2
380109,2
380110,2
380111,1
380112,1
380113,1
380114,1
380115,1
380116,2
380117,1
380118,1
380119,1
380120,2
380121,1
380122,2
380123,1
380124,2
380125,1
380126,1
380127,1
380128,1
380129,1
380130,2
380131,1
380132,1
380133,2
380134,2
380135,1
380136,1
380137,2
380138,1
380139,2
380140,2
380141,2
380142,2
380143,2
380144,2
380145,2
380146,1
380147,2
380148,2
380149,1
380150,1
380151,2
380152,1
380153,1
380154,2
380155,1
380156,1
380157,2
380158,1
380159,2
380160,2
380161,2
380162,2
380163,1
380164,2
380165,1
380166,1
380167,2
380168,1
380169,1
380170,2
380171,2
380172,2
380173,1
380174,1
380175,2
380176,1
380177,1
380178,2
380179,2
380180,2
380181,2
380182,2
380183,2
380184,2
380185,2
380186,1
380187,1
380188,2
380189,1
380190,2
380191,2
380192,2
380193,1
380194,2
380195,1
380196,1
380197,1
380198,1
380199,2
380200,1
380201,1
380202,1
380203,1
380204,1
380205,2
380206,1
380207,2
380208,1
380209,2
380210,1
380211,2
380212,1
380213,1
380214,2
380215,2
380216,1
380217,2
380218,1
380219,1
380220,1
380221,1
380222,1
380223,2
380224,2
380225,1
380226,2
380227,2
380228,2
380229,2
380230,2
380231,2
380232,1
380233,1
380234,2
380235,2
380236,2
380237,2
380238,2
380239,1
380240,2
380241,2
380242,2
380243,2
380244,2
380245,2
380246,1
380247,2
380248,2
380249,2
380250,1
380251,2
380252,2
380253,2
380254,2
380255,2
380256,2
380257,1
380258,2
380259,2
380260,2
380261,1
380262,2
380263,2
380264,1
380265,1
380266,2
380267,1
380268,2
380269,1
380270,2
380271,2
380272,1
380273,1
380274,1
380275,2
380276,2
380277,2
380278,2
380279,2
380280,2
380281,2
380282,2
380283,2
380284,1
380285,2
380286,2
380287,1
380288,2
380289,2
380290,2
380291,1
380292,1
380293,2
380294,1
380295,1
380296,1
380297,1
380298,2
380299,1
380300,2
380301,1
380302,2
380303,2
380304,1
380305,1
380306,1
380307,2
380308,1
380309,2
380310,1
380311,1
380312,2
380313,1
380314,1
380315,2
380316,1
380317,2
380318,2
380319,1
380320,1
380321,2
380322,2
380323,1
380324,1
380325,2
380326,1
380327,1
380328,1
380329,2
380330,2
380331,1
380332,2
380333,2
380334,1
380335,2
380336,2
380337,1
380338,2
380339,1
380340,1
380341,2
380342,1
380343,2
380344,2
380345,1
380346,2
380347,2
380348,2
380349,2
380350,2
380351,2
380352,2
380353,2
380354,2
380355,2
380356,2
380357,2
380358,2
380359,2
380360,2
380361,1
380362,2
380363,2
380364,1
380365,2
380366,1
380367,1
380368,2
380369,2
380370,2
380371,1
380372,2
380373,2
380374,1
380375,2
380376,1
380377,2
380378,2
380379,1
380380,2
380381,2
380382,2
380383,2
380384,1
380385,2
380386,2
380387,2
380388,2
380389,2
380390,2
380391,1
380392,2
380393,2
380394,2
380395,2
380396,2
380397,2
380398,1
380399,2
380400,1
380401,1
380402,2
380403,2
380404,2
380405,2
380406,2
380407,1
380408,2
380409,1
380410,1
380411,1
380412,1
380413,2
380414,1
380415,2
380416,1
380417,2
380418,2
380419,1
380420,2
380421,1
380422,2
380423,2
380424,2
380425,2
380426,1
380427,2
380428,2
380429,2
380430,1
380431,2
380432,2
380433,2
380434,1
380435,1
380436,2
380437,2
380438,1
380439,2
380440,1
380441,2
380442,2
380443,2
380444,2
380445,1
380446,2
380447,2
380448,2
380449,2
380450,2
380451,2
380452,1
380453,1
380454,2
380455,1
380456,1
380457,2
380458,2
380459,1
380460,2
380461,1
380462,2
380463,2
380464,2
380465,2
380466,2
380467,1
380468,1
380469,1
380470,1
380471,1
380472,2
380473,1
380474,1
380475,1
380476,1
380477,1
380478,2
380479,1
380480,2
380481,1
380482,1
380483,1
380484,1
380485,1
380486,1
380487,2
380488,2
380489,1
380490,2
380491,2
380492,2
380493,1
380494,1
380495,1
380496,2
380497,2
380498,2
380499,2
380500,2
380501,2
380502,1
380503,1
380504,2
380505,2
380506,1
380507,2
380508,2
380509,1
380510,1
380511,2
380512,2
380513,2
380514,1
380515,2
380516,2
380517,2
380518,2
380519,1
380520,2
380521,2
380522,1
380523,2
380524,2
380525,2
380526,2
380527,2
380528,2
380529,2
380530,2
380531,2
380532,1
380533,1
380534,2
380535,1
380536,1
380537,1
380538,1
380539,1
380540,1
380541,2
380542,2
380543,1
380544,2
380545,2
380546,1
380547,1
380548,2
380549,2
380550,1
380551,2
380552,1
380553,2
380554,1
380555,1
380556,2
380557,1
380558,2
380559,2
380560,2
380561,1
380562,1
380563,1
380564,1
380565,1
380566,2
380567,2
380568,1
380569,1
380570,1
380571,2
380572,1
380573,1
380574,1
380575,2
380576,2
380577,1
380578,2
380579,2
380580,2
380581,1
380582,1
380583,1
380584,2
380585,2
380586,1
380587,1
380588,2
380589,1
380590,2
380591,2
380592,2
380593,2
380594,2
380595,2
380596,2
380597,1
380598,2
380599,2
380600,2
380601,2
380602,1
380603,2
380604,1
380605,2
380606,1
380607,1
380608,2
380609,2
380610,2
380611,2
380612,2
380613,2
380614,2
380615,2
380616,2
380617,2
380618,2
380619,1
380620,2
380621,1
380622,1
380623,2
380624,2
380625,2
380626,1
380627,1
380628,1
380629,1
380630,2
380631,2
380632,1
380633,2
380634,2
380635,2
380636,2
380637,2
380638,2
380639,1
380640,2
380641,2
380642,2
380643,2
380644,2
380645,2
380646,2
380647,2
380648,2
380649,2
380650,1
380651,1
380652,2
380653,1
380654,2
380655,2
380656,1
380657,1
380658,2
380659,1
380660,2
380661,1
380662,1
380663,1
380664,1
380665,1
380666,2
380667,2
380668,2
380669,1
380670,1
380671,1
380672,2
380673,2
380674,2
380675,2
380676,2
380677,2
380678,2
380679,2
380680,2
380681,2
380682,2
380683,1
380684,1
380685,1
380686,2
380687,1
380688,1
380689,1
380690,1
380691,2
380692,2
380693,1
380694,1
380695,2
380696,2
380697,2
380698,2
380699,2
380700,1
380701,2
380702,1
380703,1
380704,2
380705,2
380706,2
380707,2
380708,2
380709,1
380710,1
380711,1
380712,2
380713,1
380714,2
380715,1
380716,2
380717,2
380718,2
380719,2
380720,2
380721,1
380722,2
380723,1
380724,1
380725,1
380726,1
380727,2
380728,2
380729,2
380730,2
380731,1
380732,2
380733,1
380734,2
380735,2
380736,2
380737,1
380738,1
380739,2
380740,2
380741,1
380742,1
380743,2
380744,1
380745,1
380746,2
380747,2
380748,2
380749,1
380750,1
380751,2
380752,2
380753,2
380754,1
380755,1
380756,1
380757,2
380758,2
380759,2
380760,1
380761,2
380762,2
380763,2
380764,1
380765,1
380766,1
380767,2
380768,2
380769,1
380770,2
380771,2
380772,1
380773,2
380774,1
380775,1
380776,1
380777,2
380778,1
380779,1
380780,1
380781,1
380782,1
380783,1
380784,2
380785,1
380786,2
380787,1
380788,1
380789,1
380790,1
380791,1
380792,1
380793,1
380794,1
380795,2
