category,word,score
2013,건강_칼럼,6
2013,건강_단신,3
2013,건강_날씨와,3
2013,건강_신호등,2
2013,건강_눈,2
2013,한국_노인들,2
2013,한국_노인,2
2013,한국_저성장,2
2013,한국_먼,2
2013,한국_고령화,2
2013,세대공감_harmony은퇴,2
2013,세대공감_harmony이,2
2013,세대공감_harmonyaig손해보험,2
2013,세대공감_옻칠작업,1
2013,세대공감_harmony전체,1
2013,치매_노부부의,3
2013,치매_암까지,3
2013,치매_칼럼,2
2013,치매_아내,2
2013,치매_디지털,1
2013,2013_리스타트,10
2013,2013_영상뉴스,6
2013,2013_일자리,4
2013,2013_생생현장인터뷰,3
2013,2013_맛있는,3
2014,사설_속으로,5
2014,사설_한국,3
2014,사설_보는,2
2014,사설_위한,2
2014,사설_일본의,2
2014,치매_예방,3
2014,치매_효능,2
2014,치매_약값,2
2014,치매_영적,2
2014,치매_확률,2
2014,건강_비타민,6
2014,건강_기획,5
2014,건강_박사의,5
2014,건강_설,5
2014,건강_칼럼,4
2014,미스터백_종영,20
2014,미스터백_신하균,18
2014,미스터백_장나라,11
2014,미스터백_해피엔딩으로,5
2014,미스터백_해피엔딩,5
2014,노인_100세,6
2014,노인_신하균,3
2014,노인_됐다,3
2014,노인_다시,3
2014,노인_연기,2
2015,효능_삼치의,19
2015,효능_멍게의,16
2015,효능_케일의,14
2015,효능_달래,12
2015,효능_미더덕,10
2015,좋은_식품,44
2015,좋은_여성에,33
2015,좋은_봄나물,18
2015,좋은_춘곤증에,15
2015,좋은_한방차,11
2015,식품_좋은,46
2015,식품_지켜주는,23
2015,식품_5가지,18
2015,식품_풀리는,17
2015,식품_마늘,13
2015,건강_간,27
2015,건강_지켜주는,26
2015,건강_뇌,19
2015,건강_돕는,16
2015,건강_눈,10
2015,칼로리_고구마,32
2015,칼로리_복숭아,11
2015,칼로리_밤,11
2015,칼로리_낮고,8
2015,칼로리_스스로,7
2016,오늘의_운세,66
2016,오늘의_속으로,7
2016,오늘의_논점,7
2016,오늘의_jtbc,3
2016,오늘의_데이터,2
2016,건강한_가족,77
2016,건강한_노후,2
2016,건강한_사회,2
2016,건강한_노인,2
2016,건강한_오키나와인,1
2016,운세_오늘의,66
2016,운세_5월,9
2016,운세_10월,8
2016,운세_3월,6
2016,운세_6월,6
2016,가족_건강한,78
2016,가족_노인,3
2016,가족_환자,2
2016,가족_암세포,2
2016,가족_헬스,2
2016,한국_독거,7
2016,한국_경제,7
2016,한국_시니어산업,5
2016,한국_2016,5
2016,한국_imf,4
2017,건강한_가족,121
2017,건강한_무릎,2
2017,건강한_나이,2
2017,건강한_대변이,1
2017,건강한_모자,1
2017,가족_건강한,121
2017,가족_헬스,5
2017,가족_눈,4
2017,가족_건강,3
2017,가족_갱년기,3
2017,더오래_박영재의,5
2017,더오래_정수덕의,4
2017,더오래_김국진의,4
2017,더오래_필진을,4
2017,더오래_김성희의,4
2017,오늘의_운세,48
2017,오늘의_속으로,3
2017,오늘의_논점,3
2017,오늘의_채널a관리에,1
2017,오늘의_이야기,1
2017,라이프_트렌드,87
2017,라이프_스타일,3
2017,라이프_트렌드당뇨,1
2017,라이프_트렌드해외,1
2017,라이프_노인,1
2018,가족_건강한,113
2018,가족_헬스,10
2018,가족_건강,5
2018,가족_무릎,3
2018,가족_100세,2
2018,건강한_가족,112
2018,건강한_100세,2
2018,건강한_사람들은,1
2018,건강한_다이어트,1
2018,건강한_사랑은,1
2018,노인_일자리,4
2018,노인_65세,4
2018,노인_장애인,3
2018,노인_독거,3
2018,노인_임플란트,3
2018,치매_환자,8
2018,치매_위험,5
2018,치매_걸린,5
2018,치매_의심,3
2018,치매_조기,3
2018,오늘의_운세,62
2018,오늘의_속으로,2
2018,오늘의_논점,2
2018,오늘의_채널a내,1
2018,오늘의_채널a두뇌,1
2019,상위_20선,68
2019,상위_50선,60
2019,상위_금액,56
2019,상위_상승률,34
2019,상위_종목,33
2019,치매_환자,9
2019,치매_위험,9
2019,치매_유발,6
2019,치매_노인,6
2019,치매_지속되면,5
2019,코스피_50선,39
2019,코스피_20선,21
2019,코스피_신저가,8
2019,코스피_시장,8
2019,코스피_신고가,5
2019,노인_일자리,11
2019,노인_70대,7
2019,노인_치매,6
2019,노인_장애인,5
2019,노인_65세,5
2019,코스닥_20선,47
2019,코스닥_시장,25
2019,코스닥_50선,21
2019,코스닥_26일,3
2019,코스닥_23일,3
2020,상위_20선,179
2020,상위_금액,153
2020,상위_50선,144
2020,상위_상승률,80
2020,상위_하락률,64
2020,코스닥_20선,112
2020,코스닥_50선,61
2020,코스닥_시장,34
2020,코스닥_신고가,8
2020,코스닥_17일,5
2020,코스피_50선,83
2020,코스피_20선,67
2020,코스피_신저가,16
2020,코스피_시장,8
2020,코스피_24일,1
2020,코로나_시대,19
2020,코로나_포스트,11
2020,코로나_사망자,11
2020,코로나_백신,11
2020,코로나_블루,10
2020,50선_상위,144
2020,50선_코스피,83
2020,50선_코스닥,61
2021,가족_건강한,151
2021,가족_눈,6
2021,가족_헬스,4
2021,가족_3대,3
2021,가족_처진,2
2021,코로나_시대,12
2021,코로나_백신,10
2021,코로나_위드,8
2021,코로나_블루,5
2021,코로나_이후,4
2021,건강한_가족,151
2021,건강한_우리집,4
2021,건강한_1949세,3
2021,건강한_성인도,2
2021,건강한_아이의,1
2021,백신_접종,37
2021,백신_코로나,10
2021,백신_화이자,7
2021,백신_맞는다,5
2021,백신_맞으면,4
2021,치매_노인,10
2021,치매_80대,8
2021,치매_위험,6
2021,치매_아내,6
2021,치매_발병,5
2022,건강한_가족,138
2022,건강한_우리집,12
2022,건강한_취미,1
2022,건강한_만듭니다,1
2022,건강한_1순위,1
2022,가족_건강한,138
2022,가족_기고,6
2022,가족_헬스,5
2022,가족_눈,3
2022,가족_헬스신간,3
2022,오늘의_운세,75
2022,오늘의_톡픽talkpick,3
2022,오늘의_채널a중년의,1
2022,오늘의_먹거리굴은,1
2022,오늘의_동지,1
2022,100세_시대,67
2022,100세_카페,43
2022,100세_양종구의,17
2022,100세_기자의,3
2022,100세_서영아의,3
2022,치매_위험,14
2022,치매_80대,6
2022,치매_노모,4
2022,치매_할머니,4
2022,치매_노인,4
2023,치매_위험,12
2023,치매_노인,9
2023,치매_진단,7
2023,치매_할머니,6
2023,치매_남편,4
2023,오늘의_운세,61
2023,오늘의_joongang,4
2023,오늘의_먹거리비타민철분이,1
2023,오늘의_톡픽talkpick,1
2023,오늘의_채널a갱년기는,1
2023,노인_치매,9
2023,노인_쓰러진,6
2023,노인_일자리,5
2023,노인_불편한,3
2023,노인_횡단보도,3
2023,운세_오늘의,61
2023,운세_4월,11
2023,운세_2월,9
2023,운세_5월,9
2023,운세_8월,8
2023,가족_건강한,83
2023,가족_헬스,4
2023,가족_평생,2
2023,가족_고난도,2
2023,가족_폐,2
