category,word,score,sentiment
20,20대_남성,46,Negative
20,20대_징역,44,Negative
20,20대_여성,33,Negative
20,20대_폭행한,31,Negative
20,20대_아들,21,Negative
20,20대_성폭행한,20,Negative
20,20대_공무원,16,Negative
20,20대_10,16,Negative
20,20대_구속,16,Negative
20,20대_실형,15,Negative
20,징역_20대,44,Negative
20,징역_5년,17,Negative
20,징역_9년,15,Negative
20,징역_3년,11,Negative
20,징역_2년,11,Negative
20,징역_아들,9,Negative
20,징역_공무원,9,Negative
20,징역_6년,8,Negative
20,징역_12년,7,Negative
20,징역_4년,6,Negative
20,남성_20대,46,Negative
20,남성_구속,5,Negative
20,남성_징역,3,Negative
20,남성_취업자,3,Negative
20,남성_실형,3,Negative
20,남성_집행유예,2,Negative
20,남성_서울,2,Negative
20,남성_60대,1,Negative
20,남성_생계부양자,1,Negative
20,남성_80세,1,Negative
20,노인_70대,26,Negative
20,노인_무차별,11,Negative
20,노인_80대,9,Negative
20,노인_마구,7,Negative
20,노인_치고,5,Negative
20,노인_폭행한,5,Negative
20,노인_60대,3,Negative
20,노인_줍던,3,Negative
20,노인_덮쳐,3,Negative
20,노인_뺑소니,2,Negative
20,냉장고에_시신,26,Negative
20,냉장고에_20대,4,Negative
20,냉장고에_보관한,4,Negative
20,냉장고에_넣어둔,3,Negative
20,냉장고에_넣은,3,Negative
20,냉장고에_둔,2,Negative
20,냉장고에_숨지자,2,Negative
20,냉장고에_유기한,2,Negative
20,냉장고에_아버지,2,Negative
20,냉장고에_주검,1,Negative
20,폭행한_20대,31,Negative
20,폭행한_무차별,13,Negative
20,폭행한_노인,5,Negative
20,폭행한_60대,2,Negative
20,폭행한_외조모,2,Negative
20,폭행한_택시기사,2,Negative
20,폭행한_70대,2,Negative
20,폭행한_연인,1,Negative
20,폭행한_외할머니,1,Negative
20,폭행한_20대가,1,Negative
20,아버지_시신,17,Negative
20,아버지_치매,9,Negative
20,아버지_숨지게,3,Negative
20,아버지_때리고,2,Negative
20,아버지_앓던,2,Negative
20,아버지_냉장고에,2,Negative
20,아버지_60대,1,Negative
20,아버지_학대해,1,Negative
20,아버지_주검,1,Negative
20,아버지_학대,1,Negative
20,성폭행_20대,11,Negative
20,성폭행_동료,4,Negative
20,성폭행_후,4,Negative
20,성폭행_청소년,3,Negative
20,성폭행_시도한,2,Negative
20,성폭행_화장실서,2,Negative
20,성폭행_수십차례,2,Negative
20,성폭행_수십,1,Negative
20,성폭행_성노예,1,Negative
20,성폭행_여동생,1,Negative
20,실형_20대,15,Negative
20,실형_남성,3,Negative
20,실형_모델,3,Negative
20,실형_2년,2,Negative
20,실형_선고,2,Negative
20,실형_주거침입까지,1,Negative
20,실형_30대,1,Negative
20,실형_확정,1,Negative
20,실형_뒤,1,Negative
20,실형_면했다,1,Negative
20,성폭행한_20대,20,Negative
20,성폭행한_여성,5,Negative
20,성폭행한_10대,2,Negative
20,성폭행한_꾀어,2,Negative
20,성폭행한_수십,1,Negative
20,성폭행한_여동생,1,Negative
20,성폭행한_인면수심,1,Negative
20,성폭행한_협박,1,Negative
20,성폭행한_가출소녀,1,Negative
20,성폭행한_유학생,1,Negative
30,20대_요가,1,Negative
30,20대_베개는,1,Negative
30,20대_중,1,Negative
30,징역_30대,44,Negative
30,징역_4년,13,Negative
30,징역_7년,9,Negative
30,징역_10년,7,Negative
30,징역_남성,6,Negative
30,징역_5년,6,Negative
30,징역_1년,4,Negative
30,징역_10개월,4,Negative
30,징역_2년,4,Negative
30,징역_7년6개월,3,Negative
30,남성_30대,26,Negative
30,남성_징역,6,Negative
30,남성_2명,2,Negative
30,남성_하루만에,2,Negative
30,남성_초라하게,1,Negative
30,남성_2심서도,1,Negative
30,남성_지하철서,1,Negative
30,남성_묻지마,1,Negative
30,남성_양쪽,1,Negative
30,남성_갱년기,1,Negative
30,노인_70대,7,Negative
30,노인_살해하고,2,Negative
30,노인_아랫집,2,Negative
30,노인_살해한,2,Negative
30,노인_집단,1,Negative
30,노인_성폭행한,1,Negative
30,노인_행세멕시코,1,Negative
30,노인_치여,1,Negative
30,노인_타고,1,Negative
30,노인_뺑소니,1,Negative
30,폭행한_30대,4,Negative
30,폭행한_무차별,1,Negative
30,폭행한_노인들,1,Negative
30,폭행한_묻지마,1,Negative
30,폭행한_노인,1,Negative
30,폭행한_제주,1,Negative
30,폭행한_하이힐로,1,Negative
30,아버지_치매,1,Negative
30,아버지_밀어,1,Negative
30,성폭행_여성,5,Negative
30,성폭행_30대,4,Negative
30,성폭행_약혼녀,3,Negative
30,성폭행_살해,2,Negative
30,성폭행_살인,2,Negative
30,성폭행_시도,2,Negative
30,성폭행_승강기서,1,Negative
30,성폭행_먹이고,1,Negative
30,성폭행_시도한,1,Negative
30,성폭행_상습,1,Negative
30,실형_30대,10,Negative
30,실형_2심도,2,Negative
30,실형_징역,1,Negative
30,실형_항소심에서도,1,Negative
30,실형_경찰관,1,Negative
30,실형_상사,1,Negative
30,실형_선고,1,Negative
30,성폭행한_30대,8,Negative
30,성폭행한_승강기서,3,Negative
30,성폭행한_수년간,2,Negative
30,성폭행한_86차례,2,Negative
30,성폭행한_인면수심,2,Negative
30,성폭행한_30대항소심도,1,Negative
