Topic Number,제목_Origin
1,영하 5도에 양말 바람으로 슈퍼 온 80대 벌벌 떨며 한 말 '충격'
1,"지난해 1일 평균 사망자 819명, 역대 최대 절반가량, 80대 이상 ‘고령화’"
1,운동과 재미 두 토끼 잡는 당구 80대에도 ‘하이런’[김종석의 굿샷 라이프]
1,“70대 그림 배워 80대 책 펴내 도전할 수 있음에 감사”
1,10년간 모은 동전 들고 경찰서 찾았다 80대 할머니 감동 사연
1,"70세 이상 취업자 사상 최대 ""80대 알바생도 체력 좋아요"" [뉴스원샷]"
1,"1년 만에 다시 만난 80대 노부부 “임자, 보고 싶어 죽을뻔했소”"
1,[암과의 동행] 이인규 서울성모병원 교수 “80대도 대장암 수술 가능”
1,의료 주거비 제외한 ‘가용소득’ 살펴보니 ‘80대 20의 사회’ 뚜렷
1,[건강을 부탁해] 운동에 ‘늦음’ 없다 80대도 운동해야 하는 이유
2,"수영 국대 황선우, 80대 뺑소니? 30분 후 돌아와 ""내가 친 것 같다"""
2,치매 아내 4년 돌보던 80대 끝내 /“이 길이 가장 행복” 마지막 동행
2,“영안실서 몸 덮은 천이 미세하게 움직여” 사망 판정 1시간 뒤 살아난 80대
2,"애틋한 아내 사랑, 치매 80대英할아버지, 한국인 아내 숨진 것 모른 채 ""아내 찾아달라"""
2,"이부진 사장, 사고낸 80대 노인 사정 듣고 통큰 결정 완전 멋져!"
2,[단독] 노모 시신 30년 옥상에 둔 80대 “너무 사랑해 곱게 모시려”
2,"""말기암 80대 노모 코 2주에 한번씩 뒤집어  꼭 이래야 하나"""
2,"""임무이자 큰 영광"" 세계 최초 백신 접종 앞둔 80대 부부"
2,"죽었다 되살아난 80대 치매 노인, 가족 알아볼 정도로 건강 회복?"
2,"""치매 아내 끝까지 책임지겠다""던 80대의 가장 슬픈 살인 [이슈추적]"
3,"50대 외톨이, 80대 부모 떠나면 ‘동시 고립사’ 日사회의 비극 [숨어버린 사람들 (11) 일본 히키코모리 고령화]"
3,"""스무 살에 '80대 노인'의 삶을 살 아들을 보면 막막합니다"" [1071명, 발달장애를 답하다]"
3,최고령 대통령 이어 70 80대 정치인 전성시대 [美 바이든 시대 개막]
3,"美, 바이든 최고령 대통령 취임과 함께 70 80대 정치인 전성시대 열려"
3,"추석연휴 리조트서 길 잃은 80대, 풀 잡고 연못 안 빠져"
3,"""7년 기다린 보람"" 심장판막 망가져 재수술 어려운 80대 新의료기술로 살렸다"
3,경남 의령 산속에서 길 잃은 80대 노인 나흘 만에 구조
3,경북 청도군립요양병원 80대 환자 사망 후 확진 국내 사망자 92명
3,"한은 ""고령화 지속되면 2050년 경제활동인구 현재 80%대 수준으로 감소"""
3,[코로나19] 봉화 푸른요양원 확진 80대 사망 국내 총 168명
