Topic Number,제목_Origin
1,[건강한 가족] 5분 걷기 힘든 90대 허리 환자도 부작용 줄인 맞춤 수술로 개선
1,93세 치매 할머니도 코로나 이겼다  국내 90대 3번째 완치
1,"월남해 실공장 운영해온 90대 할머니, 고대병원에 10억 쾌척"
1,아픈 90대 어머니 위해 절도...엇나간 효심
1,경북 푸른요양원 90대 입소자 사망 국내 116번째
2,대구서 90대 요양병원 확진자 2명 숨져 국내 사망자 총 161명
2,"한국GM, 복지차량 누적 기증대수 615대 작년부터 ‘스파크’ 90대 후원"
2,봉화 푸른요양원 90대 확진자 숨져 국내 사망자 83명으로 늘어
2,경북서 90대 여성 코로나19로 숨져 국내 사망자 총 82명
2,대구 대실요양병원 90대 확진자 숨져 국내 누계 206명
2,대구서 90대 여성 확진자 추가 사망 국내 118명
2,국내 첫 오미크론 사망 2차까지 접종한 90대 2명
2,경북서 치매 고혈압 앓아온 90대 숨져 국내 82번째
2,CNN도 감동했다 실종 90대 치매 할머니 구한 백구
2,경북서 90대 여성 코로나19로 사망 국내 총 82명
3,"코로나19로 3개월간 못 본 90대 부부, 결혼 70주년에 재회 ‘감동’"
3,같은 날 두 손 잡고 하늘나라로 떠난 90대 노부부
3,‘은혜 갚은 백구’ 90대 할머니 실종 이틀만에 무사히 집으로
3,"실종 90대 할머니 구한 백구, 119 명예 구조견에 임명"
3,소리 선명 90대 노인도 손쉽게 사용하는 국산 보청기
3,[송혜민의 피플스토리+] 치매에도 아내 만은 기억하는 90대 할아버지
3,[월드피플+] 사라진 90대 치매 노인 찾아준 ‘꼬마 탐정단’
3,[코로나19] 요양병원 90대 환자 2명 잇따라 숨져 국내 총 161명
