Topic Number,제목
1,웨이하이 사고 시민들 방관한 아냐 방관자 논란
1,동성애자 딸을 지켜보는 엄마의 솔직한 독백
1,생계급여 부양의무자 기준 폐지
1,부양의무자 기준 단계적 폐지 2020년까지 수급자 252만명으로
1,치매와의 전쟁 전쟁 같은 간병 지옥 치매 가족의 하루
1,강남구 로봇과 치매 예방하세요
1,필동정담 치매 간병
1,설왕설래 연명치료 중단
1,서울 여성 행복지수는 5점 만점에 267점
1,서울 강남구 사교육비 가구당 월평균 114만원
2,딱한 사정 해결됐을 웃고 막무가내 욕설 성희롱에 울고
2,역사교사가 쓸 한국사 교재 한국인이 만든다
2,치매에 대한 올바른 이해와 정보
2,유모차 끌고 아빠도 할머니도 주최측추산 20만 운집
2,화약창고 떠난 자리에 전통 옹기가마
2,도선미의 취향저격 상하이 100년 묵은 상하이 서민의 집 스쿠먼 탐방기
2,전 재산 주고 90만원 생활비 뿔난 노모 의사 아들 상대로 시위
2,맹경환 특파원의 차이나스토리 14년간 11명 희생 중국판 살인의 추억 범인은 평범한 가장
2,요양병원도 의료시설 꼼꼼히 따져보고 신중하게 선택해야
2,서울시 한강 달맞이 명소 베스트 4 소개
3,삼성 추석 맞아 희망 나눔 10억 상당 선물 전달
3,정권 2번 바뀌었지만 4만3800시간째 광화문 광장
3,입양 친부모 유전자 검사 받도록 했으면
3,내년 400조 슈퍼예산 시대 신혼부부에 임대주택 2만호 4세 이하 어린이 무료 독감접종
3,서병수 부산시장 일자리 대책 미래먹거리 점검한다
3,구세군자선냄비본부 추석 맞아 부모님 무릎건강 챙겨주세요
3,사설 전월세 늘고 부채는 많고 젊은사람 살기 힘든 서울
3,취업성공패키지 관련 미래유망직업 심리상담사 무료수강지원
3,1769년 로스차일드 가문 세상에 나서다
3,부모님 치매 건망증 치매상담 콜센터에 전화하세요
4,집보다 43 병상이 반년 넘게 병원살이 1만7000명
4,일본에서 사후 이혼하는 부부가 증가하는 이유
4,매경춘추 책 읽는 대통령
4,박근혜 대통령 퇴진 촉구 6차 촛불집회
4,책 권하는 ceo 책 읽는 직장출판사 푸른숲
4,이것이 진정한 캐럿 골드 당근에 끼여 3년 만에 나타난 금반지
4,전원일기 농촌 마을 주민으로서 사는 삶 자체로 의미 있죠
4,육아 분투기 가해자의 엄마 가해자의 아들
4,문장으로 읽는 책 52
4,새 책 낭만주의
5,정부 첫 예산 보건복지부 복지정책 확대로 첫 60조원대 예산
5,성동구 조직개편 단행 일자리 복지 청년에 주목
5,여성 일자리 전담부서 만든 경남도
5,도심 속 자연 나들이
5,웰다잉 삶의 끝을 아름답게 3부  끝 가족 품에서 존엄한 마지막  메디케어가 돕는다
5,웰다잉 삶의 끝을 아름답게 3부   죽음의 질 1위 비결은 공동체에 녹아든 호스피스
5,단독국가가 방치한 돌봄 공백 가족끼리 메울 수밖에 없다
5,가족처럼 돌본다더니 돈벌이로 전락한 노인요양원
5,여성 노후연금 남성의 절반도 못미쳐
5,우울성향 노인 암 환자 삶의 질 향상 중개서비스 필요하다
6,ytn 실시간뉴스 비번 소방관이 화재 진압노인 생명 구해
6,요양병원 욕창 환자 많은 곳은 피해라
6,소울터치 9 열매가 없다고요 전세계에 놀라운 일이
6,인도 유랑생활 54년 중국 노병의 정월대보름 귀향
6,건강 빅 모멘텀 가정상비약 챙기고 건강캘린더 챙기고 건강하세요
6,시선 기독교 세계 분노한 콥트 기독교인들 가슴 속엔 용서가
6,획기적 치매 치료제 이번엔 나올까
6,최시원 반려견 논란 독일에선 문제견 교정가능 시험본다
6,까막눈 노인부터 파란눈 외국인까지용산에서 한글 배우세요
6,이름도 얼굴도 기억도 시간에 지워졌다 dna만 빼고
7,복지부 타미플루 독감치료제 건강보험 적용 확대 검토
7,하류노인 저자 후지타 가난은 개인의 문제가 아닙니다
7,북한인권기록센터 탈북민 대상 북한인권 실태조사 본격 착수
7,유한킴벌리함께일하는재단 시니어케어매니저 지원 사업 참여자 모집
7,치매 국가책임제로 건보 적용 확대
7,하반기 달라지는 4인실 입원비도 건강보험 적용
7,치매관리 강화24시간 방문요양 치매 가족상담 건강보험 지원 확대
7,2017 예산저출산극복복지의료 신혼부부청년 행복주택 4만8000호 공급확대 출산휴가급여 15만원 인상
7,노인장기요양보험 제도시행 9년만에 만족도 90
7,치매 정밀검진도 건보 적용
8,쓸쓸한 죽음 외로운 청춘들 덩달아 늘어나는 청년 고독사
8,저출산 벗어나려면 가족일교육 회복 시급
8,104세 할머니의 반전 장수비결은
8,1인 가구 증가 복지사각지대 해소 노력
8,복지사각지대 해소 앞장서는 사회복무요원공익요원들
8,2000명 가난한 죽음 버려진다
8,고속도로 리어카 할머니의 반전 실종된 치매노인이었다
8,벼룩의 간 빼먹은 중개인 구속
8,2030 세상보기 휠체어와 유아차
8,김정숙 여사 아기가 아빠에게 와요에 할머니한테 가죠
9,우리나라 1인가구 비중 27 넘어섰다 30년새 8배
9,건강한 가족 고혈압 치매 막아주는 오메가3 코엔자임q10
9,건강한 가족 혈액순환 돕는 오메가3 건강한 노년의 동반자
9,건강한 가족 하루 호두 줌 치매 심장병 대장암 예방 효과
9,반려동물이라도 패혈증 안심 금물 작은 상처도 병원으로
9,이웃집 개에 물려 숨져반려견 관리 절실
9,7월부터 노인요양원에 치매 전담실 생긴다
9,뉴스룸에서민태원 이참에 치매 병명 바꾸자
9,청바지 찢고 향초 만들고 취미 살려 일하는 덕후들 모였죠
9,건강한 가족 건강한 사람은 식물성 동물성 단백질 섭취 2대1 바람직
10,한국인 뇌구조유전자 특성 파악 전국민 조기진단 가능
10,앵커의 눈 죽어서도 바가지 천차만별 장례비
10,누에고치 추출물을 불치병 치료약으로 속여 판 일당 검거
10,5년 생존율 10 불과 췌장암 증상 발생땐 이미 늦다
10,추석부모님 건강 체크포인트 뇌건강  얼굴이나 손에 감각 떨어지거나 물체가 2개로 보이면 뇌졸중 의심을
10,신혜인의 에르빌 통신모술 진입과 시가전 난민에게 겨울이 시작됐다
10,불치병 치료 건강기능식품 속여 판 일당 적발
10,안녕 나사로 아름다운 동행
10,직업이 환자인 보험사기 일당 검거
10,의료비 부담 의료실비보험 비교로 덜어볼까
