Topic Number,제목_Origin
1,[새정부 주목받는 지자체 정책 | 서울 양천구 나비남프로젝트] 위기에 놓인 50대 독거남의 손을 잡다
1,"이병도 서울시의원, 11대 서울시의회 1호 법안 ‘4 50대 중장년 일자리 지원 조례안’ 발의"
1,"[베이비부머의 애환] ""대한민국 50대 남자는 서럽다“ 세대별 삶의 만족도 가장 낮아 ”건강 걱정“"
1,익명 50대 남성 폐품 파는 60대 외국인 재소자도 “남 도우니 내가 더 행복해요”
1,[토요판 커버스토리]20대 아들딸 불타는 클럽의 밤 50대 아버지 나홀로 거룩한 밤
1,새벽 4시면 어김없이 잠 깨는 50대 수면병원 찾았다 깜짝 놀란 이유
1,[집 공간 사람] 서울 한복판에 8평 주택 50대 부부의 바뀐 삶
1,20대 논객 50대 법관 60대 취준생 ‘나’의 이야기가 빛난 해
1,"2040년 서울, 인구 900만명에 1 2인 가구가 60% 50대가 ‘젊은이’"
1,20대서 50대까지 모든 연령서 취미 1위로 ‘재테크 투자’ 꼽아
2,"[한경 미디어 뉴스룸-한경BUSINESS] 50대 ""책임감 하나로 살았는데 "" 2030 ""시대 잘 타 편하게 산 세대"""
2,"[단독] 김부겸, 남경필과 중국 50대 차기 리더 만남 주선한 이광재 ""8월엔 러시아 갈 것"""
2,"""생 마감 날 받아 놓고서야 다시 웃을 수 있었다"" 50대 여성의 안타까운 사연"
2,"후베이성서 잇단 비극 숨진 할아버지 곁 남겨진 아이, 가족 위해 떠난 50대"
2,"한국 선원 10명 중 6명, 50대 이상 취업 선원 10명 3~4명 외국인"
2,"국민 100명 중 1명 협심증, 50대 이상 연령층 많아 ‘일종의 노화 현상’"
2,[2021 무연고사 리포트]쓸쓸한 죽음 5명 중 1명은 50대 노년만의 문제 아니다
2,봄철 나들이 중 노년층 무릎관절증 주의 10명 중 9명은 50대 이상
2,"34년 전 실종된 기억상실 50대, 기억 되찾아 극적 가족 상봉"
2,"파킨슨병 원인, 50대 이전 발병시 유전적 요인 발병초기 관리가 중요"
3,"[사서가 추천하는 오늘의 책 │그들은 소리내 울지 않는다] “슬픈 50대, 그 속에 내가 있다”"
3,‘동거 각서 이행 안했다’고 80대 내연남 폭행 끝에 숨지게 한 50대 ‘징역 5년’
3,"[김태열 기자의 생생건강] ‘무증상’.. 골절후에나 알게되는 골다공증 환자, 50대이상 여성이 90%"
3,"'나도 모르게 찔끔' 말 못할 고통 앓는 50대, '이것' 위험 높아져"
3,전립샘암 환자 99% 50대 이상 남성 마흔 살 넘었다면 정기검진 필수!
3,40대는 치핵 앓고 50대는 백내장 한국인 가장 많이 받은 수술은?
3,현장 면접서 바로 합격 50대 “일터 생기니 힘도 절로 솟네요”
3,"지난해 119구급대 이용 환자, 50대 8월 오전 제주가 가장 많아"
3,직장인들의 희망 은퇴 연령은 61세지만 체감 은퇴 시기는 50대 초반
3,"[저성장시대, 패러다임을 바꾸자] 50대 이상 신중년층 ‘인생 이모작’ 가능케 유도"
