Topic Number,제목_Origin
1,2021년 코로나 사망 1년 새 5배 ↑ 10 20 70대 극단 선택도 증가
1,아내와의 사별 슬퍼한 70대 남자의 순애보 수술 직전 아내 숨지자 병원에서 투신해 숨져
1,폭우 속 광주 천변서 실종된 70대 여성 7개월 만에 숨진 채 발견
1,서울 성북구서 70대 노모 세 딸 등 일가족 숨진 채 발견
1,"""숨 쉬는 게 무서워 삶 포기하고파"" 70대 천식 환자가 눈물짓는 이유"
1,"봄나물 캐다 산탄총 5발 맞은 70대, 뇌 관통했지만 극적 생존"
1,[속보] 대구서 70대 확진자 3명 추가 사망 국내 총 189명
1,봉화 푸른요양원 치매 앓던 70대 확진자 숨져  사망 총 50명
1,"길 잃은 70대 치매 노인, 경찰 도움으로 무사히 가족 품으로"
1,"아들 숨진 것 모른채  70대 치매 노모, 주검 옆서 홀로 생활"
2,"[매경 욜드포럼] 70대 유튜버가 구독자 130만명 요즘 시니어 이렇다 ""활동적 노화에 관심을"""
2,"국민 100명 중 1명 협심증, 매년 약 3.91%씩 증가 70대 가장 많아"
2,아들 죽음 모른 70대 치매 노인 아들 주검과 함께 ‘나 홀로 생활’
2,[건강한 가족] 60 70대 안면거상술 → 상안검 하안검 수술 → 보톡스 필러
2,"[김동환의 월드줌人] ""노인은 집에만 있어야 해?"" 가방 메고 떠난 70대 할머니 사연"
2,"스위스서 안락사, 건강한 70대 女 “내 삶이 다했고 죽을 준비 됐다고 느껴”"
2,"최근 5년간 조울증 환자 21% 급증...""20대 남성, 70대 여성 환자 많다"""
2,"스위스서 안락사 선택한 70대 여성 ""지금 건강하지만 죽을 준비가 됐다고 느껴"""
2,“아내에 이어 나까지” 자녀에게 짐되기 싫어 스스로 세상 떠난 70대
2,"소방구조견 맹활약, 산중 실종 치매 70대 할머니 이틀 만에 찾아"
3,“아들 주게 남은 국 한 그릇만”..식당 앞 서성인 中 70대 할머니 사연
3,2주 동안 아무도 찾지 않은 그 집 70대 기초수급 노인 쓸쓸히 숨져
3,"[영상]도로 날아온 킥보드 ""70대 노인 뒤로 숨은 13살 손자가 범인"""
3,‘세계는 지금’ 이스라엘 70대 창업 열풍 비결은? 정부 선순환 투자정책!
3,"쓸쓸한 설 연휴 70대 노인 홀로 사망, 90대 노인 자살"
3,​‘인생 황혼기’ 구본무 회장 별세 70대 단명 돌연사 이유는?
3,"‘실종 40년 만’ 70대 노모, 지적장애 딸과 극적 재회"
3,"바이든 부부 첫 인터뷰 ""43년 결혼생활, 비결은 70대 30"""
3,"20대 이하가 바라본 70대의 사회적 위상? ""10점 만점에 3~4점"""
3,美 정계 70대 전성시대 차기 대선 또 최고령 당선 유력
