Topic Number,제목
1,미 연방정부 군대 거느린 보험사 꼴 나나국채 이자 내느라 쓸 돈이 없다
1,월드피플 89세 피자 배달 할아버지 깜짝 팁 1400만 원에 눈물 영상
1,배 곪던 50년 전 뜨끈한 홍합 그릇값 2천달러로 갚은 70대 사연
1,한달 꼬박 일해도 쥐꼬리 소득 리어카노인 지원법이 필요해요 쓰레기의 문법
1,만성 재정적자 4년만에 기본 소득 축소 이탈리아 남부서 시위 충돌
1,2026년 초고령사회 진입 중장년 근로자에 대한 대책 없이 미래 없어
1,박영선 아동 감기걸려 병원 가도 꽁짜 서울시 아동 무상의료 제안
1,oecd 노동개혁 보고서 정규직 비정규직 격차 해소에 총력 기울여라
1,감옥 밖은 위험해일부러 은행 턴  84세 노인 21년 형
1,2040년 3분의1이 노인 의료 연금 비용 190조엔 패닉의 일본
2,세계금융의 심장 뉴욕이 늙어간다 65세 이상이 12 노인 4분의 1이 취약계층
2,기업별 신입 관리자 임원 남녀 성비는 여가부 공시 개선 권고
2,바이든의 경제가 먹히고 경제 호조에 힘 받는 바이든 재선 연착륙
2,화마 덮친 하와이 34가구 실버타운 생존자는 노인 대부분 생존 불명
2,일본 4명중 1명 노인 65세 인구 비율 26 역대 최고
2,뉴스큐 나흘째 두자리수 신규 확진 대구 요양병원 무더기 집단감염
2,94세 할머니 끌어올려 안면인식 이러다 노인 잡겠네 비난 봇물
2,트럼프 예산안 국무 환경 30 감액 국방은 540억달러 증액
2,김동연 성장세 둔화에 성장률 29 개소세 인하4 재정보강
2,멈추지 않는  인플레 공급망 붕괴에 연금도 59 인상
3,노동의 새벽워라밸 천국 초과 노동시간 저축 후 휴가 돈으로 뽑아 쓴다
3,취임사로 본 오바마 2기 정책 방향 진보색 세져 공화와 갈등 예고
3,2030 미래전략 세계 석학에게 듣는다 오마에 겐이치 일본 비즈니스브레이크스루대 대학원 총장
3,전수길 효플러스 대표 전문 가사서비스 까사인 삶의 질 높이는 촉매제
3,신촌 파출소 소장님께 50년 전 겨울 신촌시장 홍합 그릇의 인연
3,공공부문 일자리 284만 개 문 정부 시기 41만 개 증가
3,트럼프 올해 남은 기간 급여세 0 제안민주당은 적절한 처방 아냐
3,오바마 버핏세 예산안 제출 의료보험 사회보장 예산은 공화당에 발 양보
3,서울시 문닫는 국 공립어린이집 속출할 듯 사회보장 예산 대폭 삭감
3,지난해 공공부문 일자리 260만개 사상 최대 전년 대비 15만개 증가
4,이재웅 타다는 자동차 나눠 쓰는 서비스 박경신 위해 새 차 구입 공유경제 맞지 않아
4,중년미혼 사상 최대 남성 4명 중 1명꼴로 50세까지 결혼 한번 못해
4,오바마 4910조원 규모 2017년 예산 제출 공화당 좌파적 예산안 강력 반대
4,지난해 국민 1인당 세금 부담 1199만원 4년간 세부담 300만원 증가
4,젊은층 잡기 나선  연소득 2000만원 75세 노인 의료비 부담 높여
4,급기야 헬리콥터 머니 뿌리는 트럼프 fed는 cp 사들여 부도 차단
4,일본은 지금 미혼 시대 동거하지만 살림은 따로 나이차는 11살
4,한국사회보장정보원 창업경진대회 서류 통과 팀 대상 1차 컨설팅 진행
4,그리스 국민투표 독 되나 갈등 분열에 추가 협상 안갯속
4,백악관 공화 부채한도 증액 합의 정부 부도 위기 벗어
