Topic Number,제목
1,국민연금 사회적 가치 실현 성과 속속 사회기여형 일자리 창출 앞장
1,0세 아동에  70만원 부모급여 기초연금 322만으로 증액2023 예산안
1,광진구 중소기업과 소상공인 위해 최대 2억 융자지원
1,학대 피해 장애인 10명 중 7명 지적장애
1,중외학술복지재단 성천상 수상자에 91세 현역 의사 한원주씨
1,초저금리에 취한 빚잔치 언제나 재앙으로 끝났다북리뷰
1,여성 장애인 절반 이상이 초등학력 이하
1,김영배 서울 성북구청장 일자리는 자체가 복지입니다
1,모든 여성이 주연 이번주 레드카펫 깔린다
1,기고일자리 창출의 대안 사회적 기업
2,쥐 없고 따뜻한 물 나오는 살고 싶어요 소박한 소망
2,서울시 독거 어르신 위해 도배 전등 리모콘까지 지원
2,고양시 전국 지방자치단체 일자리대상 2년 연속 고용노동부장관상
2,노인을 위한 부산  노인일자리 3만 3000개 추진
2,lh 만 60세 고령자 실버사원 3000명 채용
2,한국증권금융 꿈나눔재단 꿈나눔카페 11호점 개점식 가져
2,전북도 정보취약계층 정보화 무료 교육 확대
2,꽃이 흔들리며 피어나듯 장애인 삶도 설
2,썸타는 영화경제 4 메트레스 연인과 저출산경제
2,한국증권금융 꿈나눔재단 꿈나눔카페 11호점 개점
3,흑인 총격사망 소요 확산 미 퍼거슨시를 가다흑과 백 그들이 보는 세상은 너무도 달랐다
3,집과 삶 주거권 쥐 없고 따뜻한 물 나오는 살고 싶어요 소박한 소망
3,김동연 장애인을 위해 경제적 자유 사회 참여 돌봄 기회의 경기가 함께하겠다
3,나눔 실천하는 사회 공헌 가장 잘하는 전공 살려 봉사하는 기업들
3,30돌 맞은 장애 복지 전문 npo 일자리 만들고 자아실현 도와
3,2020년까지 9조원 투입 일자리 창출 취약 계층 지원
3,현대차그룹 사회공헌활동 영상 퀘스타 어워즈 2021 수상
3,gs샵 생 모싯잎 송편 도네이션 방송 실시
3,소명의식의 힘 나는 자랑스런 대한민국 공무원 입니다
3,수원시 올해 4361억 투입 일자리 3만4천개 창출
